2024-02-23 10:45:17.075 | DEBUG    | __main__:post:107 - 2024-02-23 10:45:17 发起post请求:模拟xendit dana下单回调成功
2024-02-23 10:45:17.076 | DEBUG    | __main__:post:109 - 2024-02-23 10:45:17 请求时的入参: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1708656317076&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=915a362cd7b71a196a6101604198c7e6
2024-02-23 10:45:21.564 | DEBUG    | __main__:post:107 - 2024-02-23 10:45:21 发起post请求:模拟xendit dana下单回调成功
2024-02-23 10:45:21.565 | DEBUG    | __main__:post:109 - 2024-02-23 10:45:21 请求时的入参: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1708656321565&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=7f253f152cb74f0d1c4c2d34464afc66
2024-02-23 10:45:39.981 | DEBUG    | __main__:post:107 - 2024-02-23 10:45:39 发起post请求:模拟xendit dana下单回调成功
2024-02-23 10:45:39.981 | DEBUG    | __main__:post:109 - 2024-02-23 10:45:39 请求时的入参: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1708656339982&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=f9aee66c05f545c96908c30118b15145
2024-02-23 10:45:41.606 | DEBUG    | __main__:post:116 - 2024-02-23 10:45:41 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '493a402796c3d3f81ef4a5d90c4dbb0b', 'traceId': '45650e205fb146f1a24043844a8798dc', 'orderNo': 'TestOrderNo_1708656339982', 'tradeNo': '10012024022309454123200004', 'payCode': 'https://checkouttest.lipperpay.com/mock?orderInfo=PkKE5VRzA2NqiSDiRdeoWSGiOdvu5Q6%2FEMR9zSsNeu2fLz55h%2BJpJrmyAFOgvjJz53REbrRfIjPu2FcD7k4PPw%3D%3D', 'payCodeType': '1', 'expireTime': '2024-02-23 10:45:41'}
2024-02-23 10:46:48.232 | DEBUG    | __main__:post:107 - 2024-02-23 10:46:48 发起post请求:模拟xendit dana下单回调成功
2024-02-23 10:46:48.232 | DEBUG    | __main__:post:109 - 2024-02-23 10:46:48 请求时的入参: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=1001191&orderNo=TestOrderNo_1708656408233&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=16ccc6de6d38903a6828d88e8bef0a95
2024-02-23 10:46:49.793 | DEBUG    | __main__:post:116 - 2024-02-23 10:46:49 接口返回值: {'code': '88012', 'msg': 'merchant not exist', 'traceId': '70770f88cd34483bab94835ac4c2c9d0'}
